name	bsever	status	type	lastModified	contrbutionPI	contributor	abstract	filepath
4-31G	0,1	published	orbital	Mon, 15 Jan 2007 23:47:05 GMT		Dr. David Feller	VDZ     Valence Double Zeta: 2 Funct.'s/Valence AO	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/4-31G.xml
4ZaPa-NR	0	published	orbital	Mon, 11 Jul 2016 17:16:56 GMT	George A. Petersson	Jan M.L. Martin	Ranasinghe-Petersson 4ZaPa-NR basis set	/files/projects/Basis_Set_Curators/Gaussian/contrib/comartin_new_4/4ZAPA-NR.xml
4ZaPa-NR_CV		published	orbital	Wed, 11 Oct 2017 19:36:01 GMT	George A. Petersson	Jan M.L. Martin	core-valence functions for 4ZaPa-NR	/files/projects/Basis_Set_Curators/Gaussian/contrib/comartin_new_17/4ZAPA-NR_CV.xml
5ZaPa-NR	0	published	orbital	Wed, 17 Aug 2016 18:36:48 GMT	George A. Petersson	Jan M.L. Martin		/files/projects/Basis_Set_Curators/Gaussian/contrib/comartin_new_2/5ZAPA-NR.xml
5ZaPa-NR_CV		published	orbital	Wed, 11 Oct 2017 19:40:05 GMT	George A. Petersson	Jan M.L. Martin	core-valence functions for 5ZaPa-NR	/files/projects/Basis_Set_Curators/Gaussian/contrib/comartin_new_20/5ZAPA-NR_CV.xml
5ZP	0,1	published	orbital	Fri, 25 Apr 2014 22:48:55 GMT		Susi Lehtola	All-electron 5 zeta plus polarization functions.	/files/projects/Basis_Set_Curators/Gaussian/contrib/jussilehtola_new_11/5ZP.xml
5ZP-DKH	0,1	published	orbital	Tue, 13 May 2014 20:40:14 GMT		Susi Lehtola	All-electron 5 zeta valence quality plus polarization functions	/files/projects/Basis_Set_Curators/Gaussian/contrib/jussilehtola_new_22/5ZP-DKH.xml
6-31++G	0,1	published	orbital	Mon, 15 Jan 2007 23:47:01 GMT		Dr. David Feller	VDZD    Valence Double Zeta + Diffuse Functions on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/6-31PPG-AGG.xml
6-31++G*	0,1	published	orbital	Fri, 27 Feb 2015 00:54:48 GMT		Ryan Renslow	VDZPD Valence Double Zeta + Diffuse Functions on All atoms and Polarization Functions on Heavy Atoms	/files/projects/Basis_Set_Curators/Gaussian/contrib/rrenslow_addElements/6-31PPGS.xml
6-31++G**	0,1	published	orbital	Mon, 15 Jan 2007 23:46:58 GMT		Dr. David Feller	VDZPD   Valence Double Zeta + Diffuse and Polarization Functions	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/6-31PPGSS-AGG.xml
6-31++G**-J		published	orbital	Mon, 11 Jul 2016 18:14:54 GMT	S. P. A. Sauer	Stephan P. A. Sauer	Modification of the 6-31++G** basis sets for the calculation of Fermi contact dominated NMR indirect nuclear spin-spin coupling constants	/files/projects/Basis_Set_Curators/Gaussian/contrib/sauer_new_5/6-31PPGSS-J.xml
6-31+G	0,1	published	orbital	Sat, 14 Feb 2015 06:42:38 GMT		Ryan Renslow	VDZD Valence Double Zeta + Diffuse Functions on Heavy Atoms	/files/projects/Basis_Set_Curators/Gaussian/contrib/rrenslow_new/6-31PG.xml
6-31+G*	0,1	published	orbital	Fri, 27 Feb 2015 00:28:18 GMT	Ryan Renslow	Ryan Renslow	VDZPD Valence Double Zeta + Diffuse and Polarization Functions on Heavy Atoms	/files/projects/Basis_Set_Curators/Gaussian/contrib/rrenslow_addElements_0/6-31PGS.xml
6-31+G*-J		published	orbital	Mon, 11 Jul 2016 18:08:58 GMT	S. P. A. Sauer	Stephan P. A. Sauer	Modification of the 6-31+G* basis sets for the calculation of Fermi contact dominated NMR indirect nuclear spin-spin coupling constants	/files/projects/Basis_Set_Curators/Gaussian/contrib/sauer_new_4/6-31PGS-J.xml
6-31+G**	0,1	published	orbital	Sat, 14 Feb 2015 06:47:22 GMT		Ryan Renslow	VDZPD Valence Double Zeta + Diffuse Functions on Heavy Atoms + Polarization Functions on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/contrib/rrenslow_new_0/6-31PGSS.xml
6-311++G	0	published	orbital	Fri, 27 Feb 2015 03:35:17 GMT		Ryan Renslow	VTZD Valence Triple Zeta + Diffuse on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/contrib/rrenslow_new_3/6-311PPG.xml
6-311++G(2d,2p)	0	published	orbital	Mon, 15 Jan 2007 23:46:55 GMT		Dr. David Feller	VTZ2PD  Valence Triple Zeta + Double Polar. + Diffuse on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/6-311PPG2D2P-AGG.xml
6-311++G(3df,3pd)	0	published	orbital	Mon, 15 Jan 2007 23:46:53 GMT		Dr. David Feller	VTZ3PD  Valence Triple Zeta + Triple Polar. + Diffuse on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/6-311PPG3DF3PD-AGG.xml
6-311++G*	0	published	orbital	Fri, 27 Feb 2015 03:43:16 GMT		Ryan Renslow	VTZPD Valence Triple Zeta + Polarization on Heavy Atoms + Diffuse on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/contrib/rrenslow_new_4/6-311PPGS.xml
6-311++G**	0	published	orbital	Mon, 15 Jan 2007 23:46:55 GMT		Dr. David Feller	VTZPD   Valence Triple Zeta + Polarization + Diffuse on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/6-311PPGSS-AGG.xml
6-311++G**-J		published	orbital	Mon, 11 Jul 2016 18:15:52 GMT	S. P. A. Sauer	Stephan P. A. Sauer	Modification of the 6-311++G** basis sets for the calculation of Fermi contact dominated NMR indirect nuclear spin-spin coupling constants	/files/projects/Basis_Set_Curators/Gaussian/contrib/sauer_new_3/6-311PPGSS-J.xml
6-311+G	0	published	orbital	Sat, 21 Feb 2015 02:16:59 GMT		Ryan Renslow	VTZD Valence Triple Zeta + Diffuse on Heavy Atoms	/files/projects/Basis_Set_Curators/Gaussian/contrib/rrenslow_new_1/6-311PG.xml
6-311+G(2d,p)	0	published	orbital	Fri, 27 Feb 2015 03:24:24 GMT		Ryan Renslow	VTZ2PD Valence Triple Zeta + Double Polar. on Heavy Atoms & Single Polar. on Light Atoms + Diffuse on Heavy Atoms	/files/projects/Basis_Set_Curators/Gaussian/contrib/rrenslow_new_5/6-311PG2DP.xml
6-311+G*	0	published	orbital	Fri, 27 Feb 2015 01:04:24 GMT		Ryan Renslow	VTZPD Valence Triple Zeta + Polarization + Diffuse on Heavy Atoms	/files/projects/Basis_Set_Curators/Gaussian/contrib/rrenslow_addElements_3/6-311PGS.xml
6-311+G*-J		published	orbital	Mon, 11 Jul 2016 18:16:23 GMT	S. P. A. Sauer	Stephan P. A. Sauer	Modification of the 6-311+G* basis sets for the calculation of Fermi contact dominated NMR indirect nuclear spin-spin coupling constants	/files/projects/Basis_Set_Curators/Gaussian/contrib/sauer_new_2/6-311PGS-J.xml
6-311+G**	0	published	orbital	Fri, 27 Feb 2015 01:18:08 GMT		Ryan Renslow	VTZPD Valence Triple Zeta + Polarization on All Atoms + Diffuse on Heavy Atoms	/files/projects/Basis_Set_Curators/Gaussian/contrib/rrenslow_new_2/6-311PGSS.xml
6-311G	0	published	orbital	Mon, 15 Jan 2007 23:46:57 GMT		Dr. David Feller	VTZ     Valence Triple Zeta: 3 Funct.'s/Valence AO	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/6-311G.xml
6-311G-J		published	orbital	Mon, 11 Jul 2016 18:07:56 GMT	S. P. A. Sauer	Stephan P. A. Sauer	Modification of the 6-311G basis sets for the calculation of Fermi contact dominated NMR indirect nuclear spin-spin coupling constants	/files/projects/Basis_Set_Curators/Gaussian/contrib/sauer_correction_2/6-311G-J.xml
6-311G(2df,2pd)	0	published	orbital	Mon, 15 Jan 2007 23:46:54 GMT		Dr. David Feller	VTZ2P   Valence Triple Zeta + Double Polarization	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/6-311G2DF2PD-AGG.xml
6-311G*	0	published	orbital	Thu, 19 Feb 2015 06:51:25 GMT		Ryan Renslow	VTZP Valence Triple Zeta + Polarization on Heavy Atoms	/files/projects/Basis_Set_Curators/Gaussian/contrib/rrenslow_addElements_2/6-311GS.xml
6-311G**	0	published	orbital	Mon, 15 Jan 2007 23:46:56 GMT		Dr. David Feller	VTZP    Valence Triple Zeta + Polarization on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/6-311GSS-AGG.xml
6-31G	0,1	published	orbital	Thu, 24 Apr 2008 00:05:19 GMT		Dr. David Feller	VDZ     Valence Double Zeta: 2 Funct.'s/Valence AO	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/6-31G.xml
6-31G-Blaudeau		published	orbital	Mon, 15 Jan 2007 23:47:02 GMT		Dr. David Feller	VDZ     Valence Double Zeta: 2 Funct.'s/Valence AO	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/6-31G-BLAUDEAU.xml
6-31G-J		published	orbital	Mon, 11 Jul 2016 18:04:47 GMT	S. P. A. Sauer	Stephan P. A. Sauer	Modification of the 6-31G basis sets for the calculation of Fermi contact dominated NMR indirect nuclear spin-spin coupling constants	/files/projects/Basis_Set_Curators/Gaussian/contrib/sauer_correction_1/6-31G-J.xml
6-31G(2df,p)	0	published	orbital	Mon, 11 Jul 2016 23:51:20 GMT	J.A. Pople	Edoardo Apra	Pople basis set used in G3 Theory	/files/projects/Basis_Set_Curators/Gaussian/contrib/edoapra_new_1/6-31G2DFP.xml
6-31G(3df,3pd)	0	published	orbital	Mon, 15 Jan 2007 23:46:58 GMT		Dr. David Feller	VDZ3P   Valence Double Zeta + Triple Polarization on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/6-31G3DF3PD-AGG.xml
6-31G*	0,1	published	orbital	Thu, 28 May 2015 18:40:11 GMT		Ryan Renslow	VDZP Valence Double Zeta + Polarization Functions on Heavy Atoms	/files/projects/Basis_Set_Curators/Gaussian/contrib/rrenslow_addElements_1/6-31GS.xml
6-31G*-Blaudeau		published	orbital	Mon, 15 Jan 2007 23:47:00 GMT		Dr. David Feller	VDZP    Valence Double Zeta + Polarization on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/6-31GS-BLAUDEAU-AGG.xml
6-31G**	0,1	published	orbital	Mon, 15 Jan 2007 23:47:00 GMT		Dr. David Feller	VDZP    Valence Double Zeta + Polarization on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/6-31GSS-AGG.xml
6-31G** Polarization		published	polarization	Mon, 15 Jan 2007 23:44:37 GMT		Dr. David Feller	1P      Polarization functions associated with 6-31G	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/6-31GSS.xml
6ZaPa-NR	0	published	orbital	Mon, 11 Jul 2016 17:52:07 GMT	George A. Petersson	Jan M.L. Martin	Ranasinghe-Petersson 6ZaPa-NR basis set	/files/projects/Basis_Set_Curators/Gaussian/contrib/comartin_new_1/6ZAPA-NR.xml
6ZP	0,1	published	orbital	Fri, 09 May 2014 23:56:22 GMT		Susi Lehtola	All-electron 6 zeta plus polarization functions	/files/projects/Basis_Set_Curators/Gaussian/contrib/jussilehtola_new_10/6ZP.xml
6ZP-DKH	0,1	published	orbital	Tue, 13 May 2014 20:41:59 GMT		Susi Lehtola	All-electron 6 zeta valence quality plus polarization functions	/files/projects/Basis_Set_Curators/Gaussian/contrib/jussilehtola_new_23/6ZP-DKH.xml
7ZaPa-NR	0	published	orbital	Mon, 11 Jul 2016 17:52:40 GMT	George A. Petersson	Jan M.L. Martin	Ranasinghe-Petersson 7ZaPa-NR basis set	/files/projects/Basis_Set_Curators/Gaussian/contrib/comartin_new_7/7ZAPA-NR.xml
A5ZP		published	orbital	Fri, 25 Apr 2014 23:09:18 GMT		Susi Lehtola	All-electron augmented 5ZP.	/files/projects/Basis_Set_Curators/Gaussian/contrib/jussilehtola_new_12/A5ZP.xml
ADZP		published	orbital	Fri, 09 May 2014 19:05:46 GMT		Susi Lehtola	All-electron augmented DZP.	/files/projects/Basis_Set_Curators/Gaussian/contrib/jussilehtola_new_18/ADZP.xml
Ahlrichs Coulomb Fitting		published	dftcfit	Mon, 15 Jan 2007 23:44:59 GMT		Dr. David Feller	DFT     Coulomb Fitting	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AHLRICHS-COULOMB.xml
Ahlrichs pVDZ		published	orbital	Mon, 15 Jan 2007 23:45:26 GMT		Dr. David Feller	VDZP    Valence Double Zeta + Polarization on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AHLRICHSPVDZ-AGG.xml
Ahlrichs TZV		published	orbital	Mon, 15 Jan 2007 23:45:24 GMT		Dr. David Feller	VTZ     Valence Triple Zeta: 3 Funct.'s/Valence AO	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AHLRICHS_TZV.xml
Ahlrichs VDZ		published	orbital	Mon, 15 Jan 2007 23:45:26 GMT		Dr. David Feller	VDZ     Valence Double Zeta: 2 Funct.'s/Valence AO	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AHLRICHS_VDZ.xml
Ahlrichs VTZ		published	orbital	Mon, 15 Jan 2007 23:45:25 GMT		Dr. David Feller	VTZ     Valence Triple Zeta: 3 Funct.'s/Valence AO	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AHLRICHS_VTZ.xml
ANO-RCC	0,1	published	orbital	Fri, 16 Jan 2015 22:41:46 GMT	Bj�rn Roos	Roland Lindh	full ANO-RCC basis, reduce to get MB, VDZP, VTZP and VQZP quality	/files/projects/Basis_Set_Curators/Gaussian/contrib/RolandLindh_new/ANO-RCC.xml
apr-cc-pV(Q+d)Z	0	published	orbital	Wed, 23 Jan 2013 18:41:18 GMT		Ewa Papajak	apr-cc-pV(Q+d)Z basis set is a partially augmented cc-pV(Q+d)Z basis set of Dunning and coworkers	/files/projects/Basis_Set_Curators/Gaussian/contrib/papajak_new_15/APR-CC-PVQPDZ.xml
AQZP		published	orbital	Fri, 25 Apr 2014 23:05:46 GMT		Susi Lehtola	All-electron augmented QZP.	/files/projects/Basis_Set_Curators/Gaussian/contrib/jussilehtola_new_14/AQZP.xml
ATZP		published	orbital	Fri, 25 Apr 2014 23:02:39 GMT		Susi Lehtola	All-electron augmented TZP.	/files/projects/Basis_Set_Curators/Gaussian/contrib/jussilehtola_new_15/ATZP.xml
aug-cc-pCV(T+d)Z		published	orbital	Tue, 13 May 2014 20:32:45 GMT	Angela K. Wilson	Wanyi Jiang	Core-valence basis sets for second-row atoms (Al-Ar)	/files/projects/Basis_Set_Curators/Gaussian/contrib/wanyi_new/AUG-CC-PCVTPDZ.xml
aug-cc-pCV5Z	0	published	orbital	Thu, 09 Oct 2008 19:48:49 GMT		Dr. David Feller	5Z4P    Quintuple Zeta + Polarization on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PCV5Z-AGG.xml
aug-cc-pCVDZ	0	published	orbital	Mon, 15 Jan 2007 23:46:02 GMT		Dr. David Feller	DZ2PD   Double Zeta + Polarization + Diffuse on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PCVDZ-AGG.xml
aug-cc-pCVQZ	0	published	orbital	Mon, 15 Jan 2007 23:46:01 GMT		Dr. David Feller	QZ3PD   Quadruple Zeta + Polarization +Diffuse on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PCVQZ-AGG.xml
aug-cc-pCVTZ	0	published	orbital	Mon, 15 Jan 2007 23:46:02 GMT		Dr. David Feller	TZ2PD   Triple Zeta + Polarization + Diffuse on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PCVTZ-AGG.xml
aug-cc-pV(5+d)Z	0,1	published	orbital	Mon, 15 Jan 2007 23:46:03 GMT		Dr. David Feller	V5Z4P   Valence Quintuple Zeta + Polarization on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PV5PDZ-AGG.xml
aug-cc-pV(6+d)Z		published	orbital	Mon, 15 Jan 2007 23:46:03 GMT		Dr. David Feller	V6Z5P   Valence Sextuple Zeta + Polarization + Diffuse	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PV6PDZ-AGG.xml
aug-cc-pV(7+d)Z		published	orbital	Wed, 11 Oct 2017 19:45:22 GMT	David Feller	Jan M.L. Martin	aug-cc-pV(7+d)Z basis set from David Feller	/files/projects/Basis_Set_Curators/Gaussian/contrib/comartin_new_22/AUG-CC-PV7PDZ.xml
aug-cc-pV(D+d)Z	0,1	published	orbital	Mon, 15 Jan 2007 23:46:05 GMT		Dr. David Feller	VDZ2PD  Valence Double Zeta + Polarization + Diffuse	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PVDPDZ-AGG.xml
aug-cc-pV(Q+d)Z	0,1	published	orbital	Mon, 15 Jan 2007 23:46:03 GMT		Dr. David Feller	VQZ3PD  Valence Quadruple Zeta + Polarization + Diffuse	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PVQPDZ-AGG.xml
aug-cc-pV(T+d)Z	0,1	published	orbital	Mon, 15 Jan 2007 23:46:05 GMT		Dr. David Feller	VTZ2PD  Valence Triple Zeta + Polarization + Diffuse	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PVTPDZ-AGG.xml
aug-cc-pV5Z	0,1	published	orbital	Mon, 26 Jan 2009 19:36:57 GMT		Dr. David Feller	V5Z4PD  Valence Quintuple Zeta + Polarization + Diffuse	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PV5Z-AGG.xml
aug-cc-pV5Z Diffuse		published	diffuse	Mon, 15 Jan 2018 20:04:21 GMT		Dr. David Feller	1D      Diffuse Functions	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PV5Z.xml
aug-cc-pV5Z_OPTRI		published	orbital	Wed, 19 May 2010 16:25:13 GMT	Kirk Peterson	Kirk Peterson	CABS RI basis sets for F12 matched to aug-cc-pVnZ orbital basis sets	/files/projects/Basis_Set_Curators/Gaussian/contrib/kipeters_new_22/AUG-CC-PV5Z_OPTRI.xml
aug-cc-pV5Z-DK	0	published	orbital	Sat, 12 Feb 2011 01:26:10 GMT		Dr. David Feller	V5ZPD   All-electron Douglas-Kroll Valence Quintuple Zeta + Polarization	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PV5Z-DK-AGG.xml
aug-cc-pV5Z-NR MP2 Fitting		published	orbital	Tue, 13 May 2014 18:41:25 GMT	Grant Hill	Grant Hill	MP2 auxiliary basis for use with aug-cc-pV5Z-NR AO basis set	/files/projects/Basis_Set_Curators/Gaussian/contrib/GHill_new_48/AUG-CC-PV5Z-NRMP2FITTING.xml
aug-cc-pV5Z-PP		published	ecporb	Tue, 14 Oct 2008 19:38:23 GMT		Dr. David Feller	V5ZPD   Valence Quintuple Zeta + Polarization on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PV5Z-PP-AGG.xml
aug-cc-pV5Z-PP MP2 Fitting		published	orbital	Tue, 26 Jun 2012 17:32:41 GMT	Grant Hill	Grant Hill	MP2 auxiliary basis for use with aug-cc-pV5Z-PP AO basis set	/files/projects/Basis_Set_Curators/Gaussian/contrib/GHill_new_9/AUG-CC-PV5Z-PPMP2FITTING.xml
aug-cc-pV5Z-PP_OPTRI		published	orbital	Tue, 26 Jun 2012 17:33:42 GMT	Grant Hill	Grant Hill	CABS RI basis sets for F12 matched to aug-cc-pV5Z-PP orbital basis sets	/files/projects/Basis_Set_Curators/Gaussian/contrib/GHill_new_29/AUG-CC-PV5Z-PP_OPTRI.xml
aug-cc-pV6Z	0,1	published	orbital	Mon, 15 Jan 2007 23:46:09 GMT		Dr. David Feller	V6Z5P   Valence Sextuple Zeta + Polarization + Diffuse	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PV6Z-AGG.xml
aug-cc-pV7Z		published	orbital	Wed, 11 Oct 2017 19:44:08 GMT	David Feller	Jan M.L. Martin	aug-cc-pV7Z basis set from David Feller	/files/projects/Basis_Set_Curators/Gaussian/contrib/comartin_new_23/AUG-CC-PV7Z.xml
aug-cc-pVDZ	0,1	published	orbital	Mon, 15 Jan 2007 23:46:11 GMT		Dr. David Feller	VDZ2PD  Valence Double Zeta + Polarization + Diffuse	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PVDZ-AGG.xml
aug-cc-pVDZ_OPTRI		published	orbital	Wed, 19 May 2010 16:24:57 GMT	Kirk Peterson	Kirk Peterson	CABS RI basis sets for F12 matched to aug-cc-pVnZ orbital basis sets	/files/projects/Basis_Set_Curators/Gaussian/contrib/kipeters_new_19/AUG-CC-PVDZ_OPTRI.xml
aug-cc-pVDZ-DK	0	published	orbital	Fri, 18 Feb 2011 01:16:52 GMT			V5ZPD   All-electron Douglas-Kroll Valence Quintuple Zeta + Polarization	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PVDZ-DK-AGG.xml
aug-cc-pVDZ-PP		published	ecporb	Tue, 14 Oct 2008 19:38:08 GMT		Dr. David Feller	VDZPD   Valence Double Zeta + Polarization on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PVDZ-PP-AGG.xml
aug-cc-pVDZ-PP MP2 Fitting		published	orbital	Tue, 26 Jun 2012 17:34:28 GMT	Grant Hill	Grant Hill	MP2 auxiliary basis for use with aug-cc-pVDZ-PP AO basis set	/files/projects/Basis_Set_Curators/Gaussian/contrib/GHill_new_6/AUG-CC-PVDZ-PPMP2FITTING.xml
aug-cc-pVDZ-PP_OPTRI		published	orbital	Tue, 26 Jun 2012 17:35:01 GMT	Grant Hill	Grant Hill	CABS RI basis sets for F12 matched to aug-cc-pVDZ-PP orbital basis sets	/files/projects/Basis_Set_Curators/Gaussian/contrib/GHill_new_26/AUG-CC-PVDZ-PP_OPTRI.xml
aug-cc-pVQZ	0,1	published	orbital	Mon, 26 Jan 2009 19:24:45 GMT		Dr. David Feller	VQZ3PD  Valence Quadruple Zeta + Polarization + Diffuse	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PVQZ-AGG.xml
aug-cc-pVQZ_OPTRI		published	orbital	Wed, 19 May 2010 16:24:42 GMT	Kirk Peterson	Kirk Peterson	CABS RI basis sets for F12 matched to aug-cc-pVnZ orbital basis sets	/files/projects/Basis_Set_Curators/Gaussian/contrib/kipeters_new_21/AUG-CC-PVQZ_OPTRI.xml
aug-cc-pVQZ-DK	0	published	orbital	Sat, 12 Feb 2011 01:25:42 GMT		Dr. David Feller	VQZPD   All-electron Douglas-Kroll Valence Quadruple Zeta + Polarization	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PVQZ-DK-AGG.xml
aug-cc-pVQZ-NR MP2 Fitting		published	orbital	Tue, 13 May 2014 18:39:51 GMT	Grant Hill	Grant Hill	MP2 auxiliary basis for use with aug-cc-pVQZ-NR AO basis set	/files/projects/Basis_Set_Curators/Gaussian/contrib/GHill_new_47/AUG-CC-PVQZ-NRMP2FITTING.xml
aug-cc-pVQZ-PP		published	ecporb	Tue, 14 Oct 2008 19:37:45 GMT		Dr. David Feller	VQZPD   Valence Quadruple Zeta + Polarization on All Atoms	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PVQZ-PP-AGG.xml
aug-cc-pVQZ-PP MP2 Fitting		published	orbital	Tue, 26 Jun 2012 17:35:39 GMT	Grant Hill	Grant Hill	MP2 auxiliary basis for use with aug-cc-pVQZ-PP AO basis set	/files/projects/Basis_Set_Curators/Gaussian/contrib/GHill_new_8/AUG-CC-PVQZ-PPMP2FITTING.xml
aug-cc-pVQZ-PP_OPTRI		published	orbital	Tue, 26 Jun 2012 17:36:06 GMT	Grant Hill	Grant Hill	CABS RI basis sets for F12 matched to aug-cc-pVQZ-PP orbital basis sets	/files/projects/Basis_Set_Curators/Gaussian/contrib/GHill_new_28/AUG-CC-PVQZ-PP_OPTRI.xml
aug-cc-pVTZ	0,1	published	orbital	Mon, 26 Jan 2009 19:28:51 GMT		Dr. David Feller	VTZ2PD  Valence Triple Zeta + Polarization + Diffuse	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PVTZ-AGG.xml
aug-cc-pVTZ MP2 Fitting		published	orbital	Thu, 06 Nov 2008 18:52:38 GMT	Grant Hill	Grant Hill		/files/projects/Basis_Set_Curators/Gaussian/contrib/GHill_new/AUG-CC-PVTZ-NRMP2FITTING.xml
aug-cc-pVTZ_OPTRI		published	orbital	Wed, 19 May 2010 16:24:28 GMT	Kirk Peterson	Kirk Peterson	CABS RI basis sets for F12 matched to aug-cc-pVnZ orbital basis sets	/files/projects/Basis_Set_Curators/Gaussian/contrib/kipeters_new_20/AUG-CC-PVTZ_OPTRI.xml
aug-cc-pVTZ-DK	0	published	orbital	Sat, 12 Feb 2011 01:25:29 GMT		Dr. David Feller	VTZ2P   All-electron Douglas-Kroll Valence Triple Zeta + Polarization	/files/projects/Basis_Set_Curators/Gaussian/emsl-lib/AUG-CC-PVTZ-DK-AGG.xml
