,E1,E2,nu12,G12,alpha1,alpha2,h0,Nx,Ny,Nxy,Mx,My,Mxy,Ti,Tf,Ex,Ey,nu,Gxy,alphax,alphay,alphaxy
0,25.0,25.0,0.2,4.0,1.16e-05,1.16e-05,1.5,7500.0,0.0,0.0,0.0,0.0,0.0,25.0,100.0,12738900000.0,12738900000.0,0.592357,10416700000.0,1.16e-05,1.16e-05,0.0
1,500.0,0.0,-1.0,0.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
2,450.0,250.0,-1.0,100.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
3,300.0,100.0,-1.0,100.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
4,500.0,150.0,0.0,50.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
5,350.0,50.0,0.0,100.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
6,200.0,250.0,0.0,150.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
7,450.0,250.0,-1.0,0.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
8,200.0,250.0,-1.0,150.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
9,100.0,500.0,0.0,50.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
10,300.0,300.0,0.0,50.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
11,350.0,450.0,-1.0,150.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
12,250.0,200.0,-1.0,150.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
13,300.0,250.0,-1.0,100.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
14,450.0,0.0,0.0,150.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
15,500.0,500.0,-1.0,100.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
16,500.0,350.0,-1.0,100.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
17,350.0,500.0,-1.0,0.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
18,50.0,500.0,0.0,100.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
19,400.0,100.0,0.0,50.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
20,0.0,150.0,-1.0,150.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
21,150.0,200.0,-1.0,0.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
22,50.0,250.0,0.0,0.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
23,200.0,200.0,-1.0,100.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
24,0.0,500.0,0.0,0.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
25,400.0,150.0,-1.0,150.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
26,250.0,100.0,0.0,150.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
27,100.0,0.0,-1.0,200.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
28,200.0,300.0,-1.0,150.0,-10.0,-10.0,0.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-10000.0,-273.15,-273.15,,,,,,,
